[ 00:08:57.858 -->  00:09:02.994] K SPEAKER_00
[ 00:09:00.401 -->  00:09:01.493] AT SPEAKER_01
[ 00:09:02.687 -->  00:09:06.697] CO SPEAKER_02
[ 00:09:02.994 -->  00:09:03.011] AU SPEAKER_01
[ 00:09:03.831 -->  00:09:04.001] AV SPEAKER_01
[ 00:09:04.001 -->  00:09:04.513] L SPEAKER_00
[ 00:09:04.513 -->  00:09:05.145] EI SPEAKER_03
[ 00:09:05.998 -->  00:09:09.496] EJ SPEAKER_03
[ 00:09:09.496 -->  00:09:11.510] CP SPEAKER_02
[ 00:09:10.196 -->  00:09:17.397] AW SPEAKER_01
[ 00:09:11.441 -->  00:09:11.493] EK SPEAKER_03
[ 00:09:16.407 -->  00:09:21.254] CQ SPEAKER_02
[ 00:09:22.602 -->  00:09:24.001] FR SPEAKER_04
[ 00:09:22.892 -->  00:09:23.506] CR SPEAKER_02
[ 00:09:23.506 -->  00:09:27.994] EL SPEAKER_03
[ 00:09:24.991 -->  00:09:25.008] FS SPEAKER_04
[ 00:09:26.424 -->  00:09:26.459] FT SPEAKER_04
[ 00:09:26.459 -->  00:09:29.957] CS SPEAKER_02
[ 00:09:27.994 -->  00:09:28.267] FU SPEAKER_04
[ 00:09:29.957 -->  00:09:32.500] FV SPEAKER_04
[ 00:09:34.001 -->  00:09:38.677] CT SPEAKER_02
[ 00:09:42.994 -->  00:09:45.383] CU SPEAKER_02
[ 00:09:45.383 -->  00:09:57.500] FW SPEAKER_04
[ 00:09:48.097 -->  00:09:49.479] CV SPEAKER_02
[ 00:09:54.786 -->  00:09:55.878] EM SPEAKER_03
[ 00:09:57.107 -->  00:09:57.500] M SPEAKER_00
